ts_code,name,management,custodian,fund_type,found_date,benchmark
003451.OF,招商招信3个月C,招商基金,中信银行,债券型,20170310,中债综合指数收益率
003450.OF,招商招信3个月A,招商基金,中信银行,债券型,20170310,中债综合指数收益率
004463.OF,鹏华丰玉,鹏华基金,平安银行,债券型,20170310,中债总指数收益率
000874.OF,华安现金宝B,华安基金,交通银行,货币市场型,20170310,人民币七天通知存款利率(税后)
003853.OF,金鹰信息产业A,金鹰基金,广州农商银行,股票型,20170310,中证TMT产业主题指数收益率*80%+中债总财富(总值)指数收益率*20%
164509.SZ,国富恒利债券LOF,国海富兰克林基金,中国银行,债券型,20170310,中债综合指数(全价)
004178.OF,圆信永丰丰润A,圆信永丰基金,兴业银行,货币市场型,20170310,七天通知存款利率(税后)
000873.OF,华安现金宝A,华安基金,交通银行,货币市场型,20170310,人民币七天通知存款利率(税后)
003999.OF,富荣富祥纯债,富荣基金,中国光大银行,债券型,20170309,中债综合指数(总财富)收益率*90%+1年期定期存款利率(税后)*10%
004458.OF,博时华盈纯债,博时基金,华夏银行,债券型,20170309,中债综合财富(总值)指数收益率*90%+1年期定期存款利率(税后)*10%
004138.OF,上银鑫达A,上银基金,兴业银行,混合型,20170309,中证800指数收益率*50%+上证国债指数收益率*50%
004005.OF,东方民丰回报赢安A,东方基金,中国民生银行,混合型,20170309,中债总全价指数收益率*85%+沪深300指数收益率*15%
004388.OF,鹏华丰享,鹏华基金,招商银行,债券型,20170309,中债总指数收益率
003461.OF,嘉实稳元纯债A,嘉实基金,招商银行,债券型,20170309,中债总全价指数收益率
004006.OF,东方民丰回报赢安C,东方基金,中国民生银行,混合型,20170309,中债总全价指数收益率*85%+沪深300指数收益率*15%
004441.OF,富荣富兴纯债,富荣基金,中国建设银行,债券型,20170309,中债综合指数(总财富)收益率*90%+1年期定期存款利率(税后)*10%
004400.OF,金信民兴A,金信基金,招商银行,债券型,20170308,中国债券总指数收益率*95%+金融机构人民币活期存款利率(税后)*5%
003868.OF,招商招景纯债C,招商基金,交通银行,债券型,20170308,中证全债指数收益率
003867.OF,招商招景纯债A,招商基金,交通银行,债券型,20170308,中证全债指数收益率
004224.OF,南方军工改革A,南方基金,中国农业银行,混合型,20170308,中证军工指数收益率*80%+上证国债指数收益率*20%
001825.OF,建信中国制造2025A,建信基金,中国光大银行,股票型,20170308,沪深300指数收益率*80%+中证综合债券指数收益率*20%
004070.OF,南方中证全指证券公司ETF联接C,南方基金,中国银行,股票型,20170308,中证全指证券公司指数收益率*95%+银行人民币活期存款利率(税后)*5%
004401.OF,金信民兴C,金信基金,招商银行,债券型,20170308,中国债券总指数收益率*95%+金融机构人民币活期存款利率(税后)*5%
004069.OF,南方中证全指证券公司ETF联接A,南方基金,中国银行,股票型,20170308,中证全指证券公司指数收益率*95%+银行人民币活期存款利率(税后)*5%
004302.OF,国寿安保稳信C,国寿安保基金,中国民生银行,混合型,20170308,中债综合(全价)指数收益率*80%+沪深300指数收益率*20%
004301.OF,国寿安保稳信A,国寿安保基金,中国民生银行,混合型,20170308,中债综合(全价)指数收益率*80%+沪深300指数收益率*20%
004049.OF,华夏新锦汇C,华夏基金,中国建设银行,混合型,20170308,沪深300指数收益率*50%+上证国债指数收益率*50%
004048.OF,华夏新锦汇A,华夏基金,中国建设银行,混合型,20170308,沪深300指数收益率*50%+上证国债指数收益率*50%
004134.OF,农银汇理金安18个月,农银汇理基金,兴业银行,债券型,20170307,中证全债指数收益率*100%
